Date,AAPL_daily_trend
2019-12-01,74
2019-12-02,78
2019-12-03,63
2019-12-04,58
2019-12-05,63
2019-12-06,62
2019-12-07,63
2019-12-08,63
2019-12-09,61
2019-12-10,59
2019-12-11,62
2019-12-12,59
2019-12-13,61
2019-12-14,65
2019-12-15,65
2019-12-16,62
2019-12-17,62
2019-12-18,58
2019-12-19,58
2019-12-20,63
2019-12-21,65
2019-12-22,67
2019-12-23,68
2019-12-24,72
2019-12-25,100
2019-12-26,86
2019-12-27,76
2019-12-28,69
2019-12-29,67
2019-12-30,64
2019-12-31,59
2020-01-01,98
2020-01-02,100
2020-01-03,97
2020-01-04,100
2020-01-05,94
2020-01-06,94
2020-01-07,88
2020-01-08,92
2020-01-09,89
2020-01-10,87
2020-01-11,94
2020-01-12,91
2020-01-13,85
2020-01-14,85
2020-01-15,84
2020-01-16,87
2020-01-17,88
2020-01-18,89
2020-01-19,87
2020-01-20,85
2020-01-21,86
2020-01-22,82
2020-01-23,82
2020-01-24,87
2020-01-25,89
2020-01-26,86
2020-01-27,82
2020-01-28,82
2020-01-29,82
2020-01-30,80
2020-01-31,83
2020-02-01,100
2020-02-02,99
2020-02-03,89
2020-02-04,96
2020-02-05,92
2020-02-06,91
2020-02-07,94
2020-02-08,99
2020-02-09,98
2020-02-10,91
2020-02-11,93
2020-02-12,94
2020-02-13,92
2020-02-14,92
2020-02-15,96
2020-02-16,96
2020-02-17,94
2020-02-18,96
2020-02-19,94
2020-02-20,89
2020-02-21,90
2020-02-22,96
2020-02-23,98
2020-02-24,95
2020-02-25,91
2020-02-26,92
2020-02-27,92
2020-02-28,93
2020-02-29,91
2020-03-01,92
2020-03-02,87
2020-03-03,95
2020-03-04,88
2020-03-05,89
2020-03-06,89
2020-03-07,92
2020-03-08,86
2020-03-09,92
2020-03-10,87
2020-03-11,84
2020-03-12,80
2020-03-13,79
2020-03-14,100
2020-03-15,91
2020-03-16,82
2020-03-17,84
2020-03-18,97
2020-03-19,93
2020-03-20,87
2020-03-21,94
2020-03-22,89
2020-03-23,85
2020-03-24,90
2020-03-25,88
2020-03-26,90
2020-03-27,89
2020-03-28,93
2020-03-29,92
2020-03-30,90
2020-03-31,87
2020-04-01,73
2020-04-02,77
2020-04-03,75
2020-04-04,81
2020-04-05,76
2020-04-06,74
2020-04-07,78
2020-04-08,75
2020-04-09,77
2020-04-10,81
2020-04-11,84
2020-04-12,83
2020-04-13,77
2020-04-14,80
2020-04-15,99
2020-04-16,100
2020-04-17,100
2020-04-18,99
2020-04-19,94
2020-04-20,85
2020-04-21,86
2020-04-22,86
2020-04-23,86
2020-04-24,91
2020-04-25,91
2020-04-26,94
2020-04-27,84
2020-04-28,85
2020-04-29,86
2020-04-30,88
2020-05-01,100
2020-05-02,96
2020-05-03,95
2020-05-04,96
2020-05-05,93
2020-05-06,92
2020-05-07,91
2020-05-08,92
2020-05-09,96
2020-05-10,98
2020-05-11,93
2020-05-12,90
2020-05-13,93
2020-05-14,89
2020-05-15,92
2020-05-16,97
2020-05-17,93
2020-05-18,91
2020-05-19,93
2020-05-20,89
2020-05-21,97
2020-05-22,96
2020-05-23,100
2020-05-24,96
2020-05-25,91
2020-05-26,89
2020-05-27,91
2020-05-28,90
2020-05-29,86
2020-05-30,90
2020-05-31,92
2020-06-01,78
2020-06-02,81
2020-06-03,78
2020-06-04,74
2020-06-05,76
2020-06-06,83
2020-06-07,81
2020-06-08,79
2020-06-09,79
2020-06-10,81
2020-06-11,80
2020-06-12,79
2020-06-13,81
2020-06-14,80
2020-06-15,77
2020-06-16,81
2020-06-17,79
2020-06-18,80
2020-06-19,81
2020-06-20,83
2020-06-21,84
2020-06-22,100
2020-06-23,92
2020-06-24,85
2020-06-25,82
2020-06-26,79
2020-06-27,84
2020-06-28,84
2020-06-29,83
2020-06-30,80
2020-07-01,88
2020-07-02,87
2020-07-03,89
2020-07-04,90
2020-07-05,87
2020-07-06,87
2020-07-07,85
2020-07-08,88
2020-07-09,90
2020-07-10,95
2020-07-11,94
2020-07-12,93
2020-07-13,91
2020-07-14,92
2020-07-15,92
2020-07-16,94
2020-07-17,92
2020-07-18,94
2020-07-19,89
2020-07-20,90
2020-07-21,89
2020-07-22,91
2020-07-23,94
2020-07-24,94
2020-07-25,97
2020-07-26,90
2020-07-27,90
2020-07-28,91
2020-07-29,90
2020-07-30,94
2020-07-31,100
2020-08-01,86
2020-08-02,92
2020-08-03,87
2020-08-04,85
2020-08-05,84
2020-08-06,85
2020-08-07,81
2020-08-08,82
2020-08-09,85
2020-08-10,82
2020-08-11,85
2020-08-12,80
2020-08-13,86
2020-08-14,87
2020-08-15,86
2020-08-16,84
2020-08-17,85
2020-08-18,80
2020-08-19,89
2020-08-20,89
2020-08-21,88
2020-08-22,91
2020-08-23,90
2020-08-24,88
2020-08-25,90
2020-08-26,85
2020-08-27,87
2020-08-28,85
2020-08-29,90
2020-08-30,88
2020-08-31,100
2020-09-01,55
2020-09-02,56
2020-09-03,54
2020-09-04,56
2020-09-05,51
2020-09-06,53
2020-09-07,52
2020-09-08,60
2020-09-09,55
2020-09-10,52
2020-09-11,54
2020-09-12,54
2020-09-13,56
2020-09-14,55
2020-09-15,100
2020-09-16,86
2020-09-17,70
2020-09-18,72
2020-09-19,72
2020-09-20,72
2020-09-21,65
2020-09-22,60
2020-09-23,62
2020-09-24,61
2020-09-25,62
2020-09-26,65
2020-09-27,65
2020-09-28,59
2020-09-29,57
2020-09-30,54
2020-10-01,48
2020-10-02,49
2020-10-03,53
2020-10-04,53
2020-10-05,49
2020-10-06,50
2020-10-07,48
2020-10-08,47
2020-10-09,49
2020-10-10,52
2020-10-11,52
2020-10-12,53
2020-10-13,100
2020-10-14,77
2020-10-15,60
2020-10-16,65
2020-10-17,61
2020-10-18,59
2020-10-19,50
2020-10-20,50
2020-10-21,48
2020-10-22,49
2020-10-23,49
2020-10-24,56
2020-10-25,53
2020-10-26,47
2020-10-27,47
2020-10-28,46
2020-10-29,49
2020-10-30,50
2020-10-31,52
2020-11-01,68
2020-11-02,65
2020-11-03,63
2020-11-04,54
2020-11-05,55
2020-11-06,71
2020-11-07,69
2020-11-08,68
2020-11-09,69
2020-11-10,76
2020-11-11,76
2020-11-12,70
2020-11-13,73
2020-11-14,75
2020-11-15,74
2020-11-16,69
2020-11-17,71
2020-11-18,70
2020-11-19,68
2020-11-20,74
2020-11-21,75
2020-11-22,80
2020-11-23,75
2020-11-24,75
2020-11-25,80
2020-11-26,89
2020-11-27,100
2020-11-28,83
2020-11-29,76
2020-11-30,77
2020-12-01,66
2020-12-02,75
2020-12-03,64
2020-12-04,61
2020-12-05,65
2020-12-06,64
2020-12-07,60
2020-12-08,64
2020-12-09,65
2020-12-10,60
2020-12-11,62
2020-12-12,66
2020-12-13,63
2020-12-14,60
2020-12-15,60
2020-12-16,58
2020-12-17,57
2020-12-18,58
2020-12-19,61
2020-12-20,62
2020-12-21,60
2020-12-22,63
2020-12-23,65
2020-12-24,70
2020-12-25,100
2020-12-26,85
2020-12-27,74
2020-12-28,68
2020-12-29,66
2020-12-30,63
2020-12-31,59
2021-01-01,97
2021-01-02,100
2021-01-03,95
2021-01-04,95
2021-01-05,94
2021-01-06,85
2021-01-07,87
2021-01-08,92
2021-01-09,96
2021-01-10,99
2021-01-11,86
2021-01-12,86
2021-01-13,90
2021-01-14,85
2021-01-15,87
2021-01-16,91
2021-01-17,88
2021-01-18,84
2021-01-19,81
2021-01-20,79
2021-01-21,83
2021-01-22,83
2021-01-23,89
2021-01-24,84
2021-01-25,84
2021-01-26,82
2021-01-27,90
2021-01-28,87
2021-01-29,83
2021-01-30,90
2021-01-31,87
2021-02-01,97
2021-02-02,98
2021-02-03,97
2021-02-04,98
2021-02-05,97
2021-02-06,100
2021-02-07,99
2021-02-08,91
2021-02-09,91
2021-02-10,90
2021-02-11,92
2021-02-12,91
2021-02-13,97
2021-02-14,97
2021-02-15,88
2021-02-16,92
2021-02-17,90
2021-02-18,92
2021-02-19,90
2021-02-20,93
2021-02-21,94
2021-02-22,89
2021-02-23,90
2021-02-24,88
2021-02-25,89
2021-02-26,94
2021-02-27,96
2021-02-28,94
2021-03-01,92
2021-03-02,91
2021-03-03,91
2021-03-04,93
2021-03-05,89
2021-03-06,94
2021-03-07,95
2021-03-08,91
2021-03-09,96
2021-03-10,91
2021-03-11,90
2021-03-12,88
2021-03-13,99
2021-03-14,94
2021-03-15,87
2021-03-16,91
2021-03-17,91
2021-03-18,90
2021-03-19,92
2021-03-20,98
2021-03-21,100
2021-03-22,94
2021-03-23,89
2021-03-24,91
2021-03-25,89
2021-03-26,88
2021-03-27,94
2021-03-28,94
2021-03-29,87
2021-03-30,86
2021-03-31,87
2021-04-01,76
2021-04-02,78
2021-04-03,76
2021-04-04,75
2021-04-05,78
2021-04-06,70
2021-04-07,74
2021-04-08,72
2021-04-09,72
2021-04-10,73
2021-04-11,75
2021-04-12,72
2021-04-13,73
2021-04-14,74
2021-04-15,74
2021-04-16,70
2021-04-17,73
2021-04-18,73
2021-04-19,74
2021-04-20,100
2021-04-21,100
2021-04-22,82
2021-04-23,80
2021-04-24,82
2021-04-25,78
2021-04-26,78
2021-04-27,79
2021-04-28,80
2021-04-29,82
2021-04-30,83
2021-05-01,100
2021-05-02,96
2021-05-03,96
2021-05-04,95
2021-05-05,93
2021-05-06,93
2021-05-07,89
2021-05-08,95
2021-05-09,94
2021-05-10,93
2021-05-11,91
2021-05-12,92
2021-05-13,89
2021-05-14,89
2021-05-15,92
2021-05-16,93
2021-05-17,92
2021-05-18,93
2021-05-19,89
2021-05-20,91
2021-05-21,93
2021-05-22,96
2021-05-23,98
2021-05-24,94
2021-05-25,93
2021-05-26,90
2021-05-27,90
2021-05-28,90
2021-05-29,95
2021-05-30,93
2021-05-31,89
2021-06-01,85
2021-06-02,84
2021-06-03,85
2021-06-04,86
2021-06-05,89
2021-06-06,95
2021-06-07,98
2021-06-08,100
2021-06-09,92
2021-06-10,89
2021-06-11,90
2021-06-12,92
2021-06-13,88
2021-06-14,88
2021-06-15,91
2021-06-16,85
2021-06-17,88
2021-06-18,87
2021-06-19,92
2021-06-20,91
2021-06-21,89
2021-06-22,89
2021-06-23,86
2021-06-24,86
2021-06-25,88
2021-06-26,91
2021-06-27,87
2021-06-28,86
2021-06-29,84
2021-06-30,87
2021-07-01,92
2021-07-02,90
2021-07-03,92
2021-07-04,94
2021-07-05,91
2021-07-06,91
2021-07-07,91
2021-07-08,94
2021-07-09,97
2021-07-10,97
2021-07-11,90
2021-07-12,95
2021-07-13,94
2021-07-14,94
2021-07-15,93
2021-07-16,99
2021-07-17,100
2021-07-18,99
2021-07-19,96
2021-07-20,96
2021-07-21,98
2021-07-22,94
2021-07-23,96
2021-07-24,96
2021-07-25,100
2021-07-26,96
2021-07-27,99
2021-07-28,94
2021-07-29,94
2021-07-30,97
2021-07-31,96
2021-08-01,89
2021-08-02,88
2021-08-03,87
2021-08-04,86
2021-08-05,87
2021-08-06,90
2021-08-07,90
2021-08-08,89
2021-08-09,92
2021-08-10,86
2021-08-11,88
2021-08-12,84
2021-08-13,85
2021-08-14,89
2021-08-15,92
2021-08-16,89
2021-08-17,89
2021-08-18,89
2021-08-19,88
2021-08-20,86
2021-08-21,91
2021-08-22,92
2021-08-23,90
2021-08-24,100
2021-08-25,89
2021-08-26,89
2021-08-27,89
2021-08-28,91
2021-08-29,97
2021-08-30,94
2021-08-31,94
2021-09-01,44
2021-09-02,43
2021-09-03,44
2021-09-04,45
2021-09-05,47
2021-09-06,45
2021-09-07,46
2021-09-08,46
2021-09-09,44
2021-09-10,44
2021-09-11,46
2021-09-12,48
2021-09-13,48
2021-09-14,100
2021-09-15,81
2021-09-16,59
2021-09-17,62
2021-09-18,58
2021-09-19,54
2021-09-20,50
2021-09-21,52
2021-09-22,52
2021-09-23,51
2021-09-24,58
2021-09-25,60
2021-09-26,59
2021-09-27,53
2021-09-28,50
2021-09-29,48
2021-09-30,49
2021-10-01,80
2021-10-02,89
2021-10-03,89
2021-10-04,78
2021-10-05,80
2021-10-06,75
2021-10-07,78
2021-10-08,86
2021-10-09,92
2021-10-10,87
2021-10-11,78
2021-10-12,78
2021-10-13,80
2021-10-14,76
2021-10-15,85
2021-10-16,90
2021-10-17,88
2021-10-18,100
2021-10-19,96
2021-10-20,82
2021-10-21,80
