Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
HYAC,2021-06-15,9.771,0.3487179487179508,0.0,-0.0662,-0.1087,0.0425,-1,-1,1,47.3007,0,-0.07994981618719733,-1.5412,-1,-0.22940000000000005,60.479,0,0.0,100.0,100.0,1.0,0.060997826015454476,1.0,0.0,29.2159,-0.06761832728572477,35.7143,35.7143,0.357143,0.357143,0,9.8,9.8,9.8,0.0,41963.5038,0.0863914584990216
HYAC,2021-06-16,9.786,0.3871794871794861,0.001535155050659993,-0.0585,-0.0987,0.0401,-1,-1,1,85.9659,0,0.8174339914631286,0.6154,1,-1.3992992473397354,66.5108,0,0.09973379189470732,98.4127,95.2381,0.984127,-0.01587299999999999,0.952381,-0.047618999999999974,27.9429,-0.043572164472085395,28.5714,28.5714,0.285714,0.285714,0,9.794,9.802,9.81,0.016000000000000014,31252.5038,-0.25524560701721005
HYAC,2021-06-17,9.791,0.4000000000000009,0.000510933987328917,-0.0526,-0.0895,0.0368,-1,-1,1,61.1407,0,-0.28877962075660235,1.976,1,2.210919727006825,55.855,0,-0.1602115746615588,93.6508,85.7143,0.936508,-0.048387047606660495,0.857143,-0.09999989500000533,26.3579,-0.05672281688729519,21.4286,21.4286,0.214286,0.214286,0,9.794,9.802,9.81,0.016000000000000014,31252.5038,0.0
HYAC,2021-06-18,9.806,0.43846153846153624,0.0015320192013071996,-0.0394,-0.0795,0.04,-1,-1,1,215.7647,-1,2.52898641984799,1.8519,1,-0.0628036437246963,85.298,-1,0.5271327544534957,88.8889,85.7143,0.888889,-0.0508474033323794,0.857143,0.0,27.5272,0.044362411269486555,14.2857,14.2857,0.142857,0.142857,0,9.7436,9.822,9.9004,0.15679999999999872,31252.5038,0.0
HYAC,2021-06-21,9.821,0.47692307692307606,0.001529675708749803,-0.0286,-0.0693,0.0406,-1,-1,1,197.0983,-1,-0.08651276135530979,2.3785,1,0.2843566067282249,85.298,-1,0.0,87.3016,90.4762,0.8730159999999999,-0.017857122767859803,0.9047620000000001,0.05555549074075168,28.5795,0.03822764393036701,7.1429,7.1429,0.071429,0.071429,0,9.747,9.842,9.937,0.1899999999999995,31252.5038,0.0
HYAC,2021-06-22,9.831,0.5025641025641011,0.0010182262498727001,-0.0199,-0.0594,0.0395,-1,-1,1,194.9185,-1,-0.011059456119104022,2.3785,1,0.0,85.298,-1,0.0,92.0635,100.0,0.9206350000000001,0.05454539206612492,1.0,0.10526304155125872,29.5267,0.033142637204989674,0.0,0.0,0.0,0.0,0,9.7687,9.862,9.9553,0.18659999999999854,31252.5038,0.0
HYAC,2021-06-23,9.8264,0.4907692307692295,-0.00046790763910079723,-0.0245,-0.0524,0.028,-1,-1,1,-71.9013,0,-1.3688787878010553,0.8635,1,-0.636956064746689,29.3282,1,-0.6561677882248119,85.7143,66.6667,0.857143,-0.06896544233056542,0.666667,-0.33333299999999993,27.9102,-0.054747059441116075,92.8571,0.0,0.928571,0.0,1,9.7264,9.8507,9.975,0.2485999999999997,28715.5038,-0.08117749592914217
HYAC,2021-06-24,9.8204,0.4753846153846136,-0.0006106000162826902,-0.0288,-0.0477,0.0189,-1,-1,1,-131.9224,1,0.8347707204181287,-0.6122,-1,-1.708975101331789,27.2673,1,-0.07027025183952647,66.6667,33.3333,0.666667,-0.22222196296300606,0.333333,-0.5000007499996251,26.7736,-0.0407234631066779,85.7143,100.0,0.857143,1.0,-1,9.6883,9.8387,9.9891,0.3008000000000006,28715.5038,0.0
HYAC,2021-06-25,9.8074,0.4420512820512805,-0.0013237749989817014,-0.0375,-0.0457,0.0081,-1,-1,1,-206.3718,1,0.5643423709696003,-1.3265,-1,1.1667755635413266,18.7345,1,-0.3129316067230712,33.3333,0.0,0.333333,-0.5000007499996251,0.0,-1.0,27.2082,0.016232408043744706,78.5714,100.0,0.785714,1.0,-1,9.6085,9.7927,9.9769,0.36840000000000117,23207.5038,-0.19181275865339337
HYAC,2021-06-28,9.803,0.4307692307692328,-0.0004486408222361306,-0.0371,-0.0439,0.0069,-1,-1,1,-105.0896,1,-0.49077538694724765,-0.449,-1,-0.6615152657369016,45.1122,0,1.4079745923296592,15.2657,12.4638,0.15265700000000001,-0.542028542028542,0.12463800000000001,inf,25.8373,-0.050385545534067024,71.4286,100.0,0.714286,1.0,-1,9.614,9.7639,9.9138,0.2997999999999994,57876.5038,1.4938702713904113
HYAC,2021-06-29,9.7986,0.4194871794871805,-0.0004488421911660107,-0.0363,-0.0424,0.0061,-1,-1,1,-52.7768,0,-0.4977923600432393,-0.449,-1,-0.0,45.1122,0,0.0,15.6596,34.5151,0.15659599999999999,0.025802943854523447,0.345151,1.7692276833710423,24.6035,-0.04775266765490197,64.2857,92.8571,0.642857,0.928571,-1,9.6689,9.7351,9.8013,0.13239999999999874,57876.5038,0.0
HYAC,2021-06-30,9.7851,0.3848717948717946,-0.0013777478415284337,-0.0417,-0.0423,0.0006,-1,-1,1,-155.5588,1,1.9474845007654875,0.1542,1,-1.3434298440979955,30.529,0,-0.3232651034531679,27.8106,36.453,0.278106,0.7759457457406321,0.36453,0.05614644025368625,25.2495,0.026256426931127716,57.1429,100.0,0.571429,1.0,-1,9.6419,9.7194,9.7969,0.15500000000000114,57284.2538,-0.01023299544918261
HYAC,2021-07-01,9.7726,0.35282051282051446,-0.0012774524532196186,-0.0455,-0.0429,-0.0026,-1,-1,-1,-140.2029,1,-0.09871444109879988,-0.7692,-1,-5.988326848249027,30.529,0,0.0,32.2984,25.9273,0.322984,0.16137012506022883,0.259273,-0.2887471538693661,25.8309,0.023026198538584865,50.0,92.8571,0.5,0.928571,-1,9.6253,9.7064,9.7875,0.16220000000000034,57284.2538,0.0
HYAC,2021-07-02,9.7501,0.29512820512820465,-0.002302355565560941,-0.0479,-0.0439,-0.004,-1,-1,-1,-125.0253,1,-0.10825453681771204,-0.7692,-1,-0.0,30.529,0,0.0,22.7314,5.814,0.22731400000000002,-0.2962066232383028,0.05814,-0.7757575991329603,26.3542,0.020258682430732144,42.8571,85.7143,0.42857100000000004,0.857143,-1,9.628,9.7074,9.7868,0.15879999999999939,57284.2538,0.0
HYAC,2021-07-06,9.7281,0.2387179487179477,-0.002256387113978343,-0.0489,-0.0449,-0.004,-1,-1,-1,-107.088,1,-0.1434693618011715,-0.7179,-1,-0.06669266770670829,33.135,0,0.0853614595957941,13.1644,7.7519,0.131644,-0.4208715697229383,0.077519,0.3333161334709322,26.6163,0.009945283863672593,35.7143,78.5714,0.357143,0.785714,-1,9.6283,9.6922,9.7561,0.12780000000000058,57284.2538,0.0
HYAC,2021-07-07,9.7081,0.18743589743589759,-0.0020558999187919097,-0.0475,-0.0454,-0.0021,-1,-1,-1,-100.7976,1,-0.05874047512326303,-1.0204,-1,0.4213678785346148,43.6954,0,0.31870831447110315,17.5711,39.1473,0.175711,0.33474370271337855,0.391473,4.050026445129581,28.0968,0.05562380947013683,28.5714,100.0,0.285714,1.0,-1,9.6616,9.681,9.7004,0.03880000000000017,59358.2538,0.03620541182645204
HYAC,2021-07-08,9.7027,0.17358974358974413,-0.000556236544740974,-0.0458,-0.0455,-0.0003,-1,-1,-1,-65.0775,0,-0.354374508916879,-1.0204,-1,-0.0,43.6954,0,0.0,39.1473,70.5426,0.391473,1.2279367825577225,0.7054259999999999,0.8019786805220281,29.4293,0.047425329574898194,21.4286,92.8571,0.214286,0.928571,-1,9.6628,9.686,9.7092,0.04639999999999844,59358.2538,0.0
HYAC,2021-07-09,9.6947,0.15307692307692136,-0.0008245127644883275,-0.0472,-0.0458,-0.0014,-1,-1,-1,-83.6919,0,0.2860343436671661,-1.4286,-1,0.4000392003136026,29.2561,1,-0.33045354888615275,64.3411,83.3333,0.643411,0.6435641793942365,0.833333,0.18131880594137448,31.367,0.06584254467486483,14.2857,85.7143,0.142857,0.857143,-1,9.6523,9.683,9.7137,0.06139999999999901,53698.2538,-0.09535320932907902
HYAC,2021-07-12,9.6987,0.16333333333333502,0.00041259657338559583,-0.0438,-0.0454,0.0016,-1,-1,1,-42.3331,0,-0.49417924554228065,-0.9184,-1,-0.3571328573428532,53.3455,0,0.8233975136809076,79.0698,83.3333,0.790698,0.22891588735660418,0.833333,0.0,32.6074,0.03954474447667923,7.1429,78.5714,0.071429,0.785714,-1,9.6542,9.69,9.7258,0.07160000000000011,53698.2538,0.0
HYAC,2021-07-13,9.6941,0.15153846153846343,-0.0004742903688123086,-0.0406,-0.0445,0.0039,-1,-1,1,-38.4852,0,-0.09089577659089465,-0.9184,-1,-0.0,53.3455,0,0.0,83.3333,83.3333,0.833333,0.053920713091471,0.833333,0.0,33.7238,0.03423762704171442,0.0,71.4286,0.0,0.714286,-1,9.6589,9.696,9.7331,0.07420000000000115,53698.2538,0.0
HYAC,2021-07-14,9.6905,0.14230769230769294,-0.0003713598993202558,-0.0368,-0.0429,0.0061,-1,-1,1,-25.4102,0,-0.3397409913421263,-0.8163,-1,-0.11117160278745641,57.8326,0,0.08411393650823402,88.8889,100.0,0.888889,0.06666722666689082,1.0,0.20000048000019208,34.1522,0.012703194776389478,0.0,64.2857,0.0,0.642857,-1,9.658,9.7,9.742,0.0840000000000014,53698.2538,0.0
HYAC,2021-07-15,9.695,0.1538461538461549,0.00046437232340954237,-0.0335,-0.041,0.0076,-1,-1,1,-21.8857,0,-0.13870414243099227,-0.9174,-1,0.12385152517456813,57.8326,0,0.0,94.4444,100.0,0.9444440000000001,0.06249936718757904,1.0,0.0,34.5377,0.01128770620926325,21.4286,57.1429,0.214286,0.571429,-1,9.6591,9.704,9.7489,0.08980000000000032,53698.2538,0.0
HYAC,2021-07-16,9.6995,0.16538461538461685,0.0004641567818463301,-0.0304,-0.0389,0.0085,-1,-1,1,-18.5132,0,-0.15409605358750228,-0.8163,-1,-0.11020274689339433,57.8326,0,0.0,100.0,100.0,1.0,0.05882402768189536,1.0,0.0,34.8847,0.010046992127443382,14.2857,50.0,0.142857,0.5,-1,9.7062,9.716,9.7258,0.01959999999999873,53698.2538,0.0
HYAC,2021-07-19,9.704,0.17692307692307882,0.00046394144028044437,-0.0277,-0.0367,0.009,-1,-1,1,-9.7545,0,-0.4731056759501329,-1.8182,-1,1.2273673894401569,57.8326,0,0.0,100.0,100.0,1.0,0.0,1.0,0.0,35.197,0.008952348737412116,7.1429,42.8571,0.071429,0.42857100000000004,-1,9.71,9.718,9.726,0.016000000000000014,53698.2538,0.0
HYAC,2021-07-20,9.708,0.18717948717948793,0.00041220115416318624,-0.0253,-0.0344,0.0091,-1,-1,1,5.5346,0,-1.5673894100158903,-1.8182,-1,-0.0,57.8326,0,0.0,88.8889,66.6667,0.888889,-0.11111099999999993,0.666667,-0.33333299999999993,35.4781,0.007986476120123731,0.0,35.7143,0.0,0.357143,-1,9.72,9.72,9.72,0.0,53698.2538,0.0
HYAC,2021-07-21,9.71,0.19230769230769476,0.00020601565719001523,-0.0231,-0.0321,0.0091,-1,-1,1,24.4988,0,3.426480685144364,-1.8182,-1,-0.0,57.8326,0,0.0,77.7778,66.6667,0.777778,-0.12499985937501765,0.666667,0.0,36.1252,0.018239420938550875,100.0,28.5714,1.0,0.285714,1,9.72,9.72,9.72,0.0,55344.2538,0.030652765844687485
HYAC,2021-07-22,9.707,0.1846153846153868,-0.0003089598352214329,-0.0251,-0.0307,0.0056,-1,-1,1,45.0317,0,0.8381186017274317,-0.8561,-1,-0.529149708502915,20.4036,1,-0.6471955263986057,55.5556,33.3333,0.5555559999999999,-0.2857139183674519,0.333333,-0.5000007499996251,34.1941,-0.05345575941448077,100.0,21.4286,1.0,0.214286,1,9.67,9.71,9.75,0.08000000000000007,53752.2538,-0.028765407258955582
HYAC,2021-07-23,9.714,0.20256410256410387,0.0007211290821056632,-0.0216,-0.0289,0.0073,-1,-1,1,79.6915,0,0.7696755840885422,-0.1027,-1,-0.8800373788108865,59.612,0,1.921641278989982,48.8889,46.6667,0.488889,-0.12000050399959677,0.466667,0.4000024000023999,32.4562,-0.05082455745289381,92.8571,14.2857,0.928571,0.142857,1,9.6693,9.712,9.7547,0.08539999999999992,53752.2538,0.0
HYAC,2021-07-26,9.716,0.20769230769230615,0.0002058884084824883,-0.0186,-0.0268,0.0082,-1,-1,1,74.4257,0,-0.0660773106291135,0.6205,1,-7.041869522882182,59.612,0,0.0,35.5556,26.6667,0.355556,-0.2727265289257889,0.266667,-0.42857112244919826,30.8921,-0.04819110062176112,85.7143,7.1429,0.857143,0.071429,1,9.6691,9.714,9.7589,0.08980000000000032,53752.2538,0.0
HYAC,2021-07-27,9.718,0.21282051282051298,0.00020584602717174435,-0.016,-0.0247,0.0086,-1,-1,1,73.6354,0,-0.010618643828677485,-0.2665,-1,-1.4294923448831587,59.612,0,0.0,37.7778,40.0,0.377778,0.062499296875878935,0.4,0.4999981250023438,29.4844,-0.045568284448127466,78.5714,0.0,0.785714,0.0,1,9.6694,9.716,9.7626,0.09320000000000128,53752.2538,0.0
HYAC,2021-07-28,9.712,0.19743589743589704,-0.0006174109899156439,-0.0194,-0.0236,0.0042,-1,-1,1,-90.8676,0,-2.2340205933559125,-0.984,-1,2.692307692307692,28.0866,1,-0.5288431859357177,31.1111,26.6667,0.311111,-0.17647136678154893,0.266667,-0.33333250000000003,28.4332,-0.03565275196375037,71.4286,100.0,0.714286,1.0,-1,9.64,9.704,9.768,0.1280000000000001,53386.2538,-0.006809016815588856
HYAC,2021-07-29,9.706,0.1820512820512811,-0.0006177924217463167,-0.0219,-0.0233,0.0014,-1,-1,1,-136.0759,1,0.4975183673828735,-0.155,-1,-0.8424796747967479,28.0866,1,0.0,26.6667,13.3333,0.266667,-0.14285576530563052,0.133333,-0.5000018749976562,27.4872,-0.033270964928323155,64.2857,100.0,0.642857,1.0,-1,9.6334,9.702,9.7706,0.1372,53386.2538,0.0
HYAC,2021-07-30,9.7,0.16666666666666516,-0.0006181743251597185,-0.0235,-0.0233,-0.0002,-1,-1,-1,-128.2246,1,-0.05769794651367348,-0.155,-1,-0.0,28.0866,1,0.0,13.3333,-0.0,0.133333,-0.5000018749976562,0.0,-1.0,26.6358,-0.03097441718327082,57.1429,100.0,0.571429,1.0,-1,9.6194,9.688,9.7566,0.1372,53386.2538,0.0
HYAC,2021-08-02,9.694,0.15128205128205377,-0.0006185567010307682,-0.0246,-0.0236,-0.001,-1,-1,-1,-120.9913,1,-0.056411172271155566,-0.155,-1,-0.0,28.0866,1,0.0,4.4444,-0.0,0.044444,-0.6666691666729166,0.0,,25.8695,-0.028769550754998954,50.0,100.0,0.5,1.0,-1,9.618,9.674,9.73,0.1120000000000001,53386.2538,0.0
HYAC,2021-08-03,9.688,0.1358974358974378,-0.0006189395502372836,-0.0251,-0.0239,-0.0012,-1,-1,-1,-112.1884,1,-0.07275647091980988,-0.2066,-1,0.33290322580645165,28.0866,1,0.0,-0.0,-0.0,0.0,-1.0,0.0,,25.1798,-0.026660739480855775,42.8571,100.0,0.42857100000000004,1.0,-1,9.66,9.66,9.66,0.0,53386.2538,0.0
HYAC,2021-08-04,9.688,0.1358974358974378,0.0,-0.0205,-0.0232,0.0027,-1,-1,1,-32.7553,0,-0.7080330943306081,0.2062,1,-1.9980638915779283,69.8267,0,1.4861214956598519,11.1111,33.3333,0.111111,-inf,0.333333,-inf,24.4268,-0.029904923788115875,35.7143,100.0,0.357143,1.0,-1,9.624,9.672,9.72,0.09600000000000009,552538.2538,9.34982255675711
HYAC,2021-08-05,9.692,0.1461538461538469,0.0004128819157720437,-0.0174,-0.022,0.0047,-1,-1,1,58.4795,0,-2.7853446617799262,0.1031,1,-0.5,62.294,0,-0.10787707281025746,29.6296,55.5556,0.296296,1.6666666666666665,0.5555559999999999,0.6666696666696665,24.9517,0.021488692747310283,28.5714,92.8571,0.285714,0.928571,-1,9.6277,9.682,9.7363,0.10859999999999914,551730.2538,-0.001462342189781612
HYAC,2021-08-06,9.6831,0.12333333333333267,-0.00091828312009911,-0.0203,-0.0217,0.0014,-1,-1,1,-127.822,1,-3.1857574021665713,-0.2019,-1,-2.9582929194956353,32.1571,0,-0.48378495521237996,51.1481,64.5556,0.511481,0.7262501012501013,0.645556,0.1619998704001037,24.3262,-0.025068432211031666,21.4286,100.0,0.214286,1.0,-1,9.6159,9.6781,9.7403,0.12439999999999962,452277.6538,-0.18025583936176745
HYAC,2021-08-09,9.6801,0.11564102564102469,-0.0003098181367537373,-0.0176,-0.0209,0.0033,-1,-1,1,-51.3232,0,-0.598479135047175,-0.103,-1,-0.48984645864289256,55.2995,0,0.7196668853845652,57.8519,53.4444,0.578519,0.13106645212627646,0.534444,-0.1721182980252681,23.7633,-0.023139660119541855,14.2857,92.8571,0.142857,0.928571,-1,9.6249,9.6861,9.7473,0.12239999999999895,453629.6538,0.0029893141715948294
HYAC,2021-08-10,9.6806,0.11692307692307755,5.165235896329698e-05,-0.0125,-0.0192,0.0067,-1,-1,1,92.5494,0,-2.8032663590734797,0.2575,1,-3.5,64.263,0,0.1620900731471352,57.6355,54.9064,0.576355,-0.0037405858753126542,0.549064,0.02735553210439253,22.7657,-0.04198070133356908,7.1429,85.7143,0.071429,0.857143,-1,9.6362,9.7011,9.766,0.12979999999999947,452699.5256,-0.0020504131337279376
HYAC,2021-08-11,9.6866,0.1323076923076935,0.0006197962936181876,-0.0096,-0.0173,0.0077,-1,-1,1,50.1644,0,-0.457971634608112,0.0,0,-1.0,58.0293,0,-0.09700294103916726,58.4366,66.9591,0.5843659999999999,0.013899419628527525,0.669591,0.21951357218830608,21.8679,-0.03943652073074846,0.0,78.5714,0.0,0.785714,-1,9.6362,9.7011,9.766,0.12979999999999947,449299.5256,-0.007510500470469236
HYAC,2021-08-12,9.6926,0.14769230769230943,0.00061941238411829,-0.0072,-0.0153,0.0081,-1,-1,1,45.1063,0,-0.10083046941655842,0.0,0,,58.0293,0,0.0,62.5517,65.7895,0.625517,0.07041990807131145,0.657895,-0.017467379340522834,21.0598,-0.03695370840364185,85.7143,71.4286,0.857143,0.714286,1,9.6367,9.7031,9.7695,0.13280000000000136,449299.5256,0.0
HYAC,2021-08-13,9.6996,0.1656410256410265,0.0007222004415739505,-0.0044,-0.0131,0.0087,-1,-1,1,45.1063,0,0.0,0.1029,1,inf,61.881,0,0.0663750898253124,64.9513,62.1053,0.649513,0.038361867063565126,0.621053,-0.05599981760007302,19.4564,-0.07613557583642773,78.5714,64.2857,0.785714,0.642857,1,9.697,9.721,9.745,0.04800000000000004,452743.5256,0.007665265160030696
