Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,BBANDS_compare_high_low_price,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,HYAC_daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
HYAC,2021-06-15,9.771,0.34871795,0.0,-0.0662,-0.1087,0.0425,-1,-1,1,47.3007,0,-0.07994982,-1.5412,-1,-0.2294,60.479,0,0.0,100.0,100.0,1.0,0.06099783,1.0,0.0,29.2159,-0.06761833,35.7143,35.7143,0.357143,0.357143,0,9.8,9.8,9.8,0.0,1.0,41963.5038,0.08639146,9.75,9.80000019,9.75,9.80000019,3300.0,0.0,0.0,0.0,0.0,0.0047523,,13139,13012,0,313,295,0
HYAC,2021-06-16,9.786,0.38717949,0.00153516,-0.0585,-0.0987,0.0401,-1,-1,1,85.9659,0,0.81743399,0.6154,1,-1.39929925,66.5108,0,0.09973379,98.4127,95.2381,0.984127,-0.015873,0.952381,-0.047619,27.9429,-0.04357216,28.5714,28.5714,0.285714,0.285714,0,9.794,9.802,9.81,0.016,-1.0,31252.5038,-0.25524561,9.81999969,9.81999969,9.81000042,9.81000042,10700.0,0.0,0.0,0.01000023,0.00102043,0.01540899,,13532,12204,0,331,293,0
HYAC,2021-06-17,9.791,0.4,0.00051093,-0.0526,-0.0895,0.0368,-1,-1,1,61.1407,0,-0.28877962,1.976,1,2.21091973,55.855,0,-0.16021157,93.6508,85.7143,0.936508,-0.04838705,0.857143,-0.0999999,26.3579,-0.05672282,21.4286,21.4286,0.214286,0.214286,0,9.794,9.802,9.81,0.016,0.0,31252.5038,0.0,9.80000019,9.80000019,9.80000019,9.80000019,4900.0,0.0,0.0,-0.01000023,-0.00101939,0.00705645,,13444,11805,0,268,277,0
HYAC,2021-06-18,9.806,0.43846154,0.00153202,-0.0394,-0.0795,0.04,-1,-1,1,215.7647,-1,2.52898642,1.8519,1,-0.06280364,85.298,-1,0.52713275,88.8889,85.7143,0.888889,-0.0508474,0.857143,0.0,27.5272,0.04436241,14.2857,14.2857,0.142857,0.142857,0,9.7436,9.822,9.9004,0.1568,0.0,31252.5038,0.0,9.89999962,9.89999962,9.89999962,9.89999962,1000.0,0.0,0.0,0.09999943,0.01020402,0.00144009,,11723,11518,0,229,260,0
HYAC,2021-06-21,9.821,0.47692308,0.00152968,-0.0286,-0.0693,0.0406,-1,-1,1,197.0983,-1,-0.08651276,2.3785,1,0.28435661,85.298,-1,0.0,87.3016,90.4762,0.873016,-0.01785712,0.904762,0.05555549,28.5795,0.03822764,7.1429,7.1429,0.071429,0.071429,0,9.747,9.842,9.937,0.19,0.0,31252.5038,0.0,9.89999962,9.89999962,9.89999962,9.89999962,0.0,0.0,0.0,0.0,0.0,0.0,,8518,11633,0,265,258,8
HYAC,2021-06-22,9.831,0.5025641,0.00101823,-0.0199,-0.0594,0.0395,-1,-1,1,194.9185,-1,-0.01105946,2.3785,1,0.0,85.298,-1,0.0,92.0635,100.0,0.920635,0.05454539,1.0,0.10526304,29.5267,0.03314264,0.0,0.0,0.0,0.0,0,9.7687,9.862,9.9553,0.1866,0.0,31252.5038,0.0,,,,,,,,,,,,13919,11745,0,292,255,0
HYAC,2021-06-23,9.8264,0.49076923,-0.00046791,-0.0245,-0.0524,0.028,-1,-1,1,-71.9013,0,-1.36887879,0.8635,1,-0.63695606,29.3282,1,-0.65616779,85.7143,66.6667,0.857143,-0.06896544,0.666667,-0.333333,27.9102,-0.05474706,92.8571,0.0,0.928571,0.0,1,9.7264,9.8507,9.975,0.2486,0.0,28715.5038,-0.0811775,9.78999996,9.80000019,9.75399971,9.75399971,2500.0,0.0,0.0,-0.14599991,-0.01474747,0.00360023,,14440,11874,0,311,252,0
HYAC,2021-06-24,9.8204,0.47538462,-0.0006106,-0.0288,-0.0477,0.0189,-1,-1,1,-131.9224,1,0.83477072,-0.6122,-1,-1.7089751,27.2673,1,-0.07027025,66.6667,33.3333,0.666667,-0.22222196,0.333333,-0.50000075,26.7736,-0.04072346,85.7143,100.0,0.857143,1.0,-1,9.6883,9.8387,9.9891,0.3008,0.0,28715.5038,0.0,9.73999977,9.73999977,9.73999977,9.73999977,2900.0,0.0,0.0,-0.01399994,-0.0014353,0.00417627,,15415,12156,0,258,251,0
HYAC,2021-06-25,9.8074,0.44205128,-0.00132377,-0.0375,-0.0457,0.0081,-1,-1,1,-206.3718,1,0.56434237,-1.3265,-1,1.16677556,18.7345,1,-0.31293161,33.3333,0.0,0.333333,-0.50000075,0.0,-1.0,27.2082,0.01623241,78.5714,100.0,0.785714,1.0,-1,9.6085,9.7927,9.9769,0.3684,0.0,23207.5038,-0.19181276,9.69999981,9.69999981,9.67000008,9.67000008,5500.0,0.0,0.0,-0.06999969,-0.00718683,0.00792051,,14327,12528,0,319,264,10
HYAC,2021-06-28,9.803,0.43076923,-0.00044864,-0.0371,-0.0439,0.0069,-1,-1,1,-105.0896,1,-0.49077539,-0.449,-1,-0.66151527,45.1122,0,1.40797459,15.2657,12.4638,0.152657,-0.54202854,0.124638,1,25.8373,-0.05038555,71.4286,100.0,0.714286,1.0,-1,9.614,9.7639,9.9138,0.2998,0.0,57876.5038,1.49387027,9.69999981,9.75599957,9.67000008,9.75599957,34700.0,0.0,0.0,0.08599949,0.00889343,0.0499712,,10878,13065,0,208,246,0
HYAC,2021-06-29,9.7986,0.41948718,-0.00044884,-0.0363,-0.0424,0.0061,-1,-1,1,-52.7768,0,-0.49779236,-0.449,-1,-0.0,45.1122,0,0.0,15.6596,34.5151,0.156596,0.02580294,0.345151,1.76922768,24.6035,-0.04775267,64.2857,92.8571,0.642857,0.928571,-1,9.6689,9.7351,9.8013,0.1324,0.0,57876.5038,0.0,9.75599957,9.75599957,9.75599957,9.75599957,0.0,0.0,0.0,0.0,0.0,0.0,,16481,13431,0,273,244,0
HYAC,2021-06-30,9.7851,0.38487179,-0.00137775,-0.0417,-0.0423,0.0006,-1,-1,1,-155.5588,1,1.9474845,0.1542,1,-1.34342984,30.529,0,-0.3232651,27.8106,36.453,0.278106,0.77594575,0.36453,0.05614644,25.2495,0.02625643,57.1429,100.0,0.571429,1.0,-1,9.6419,9.7194,9.7969,0.155,0.0,57284.2538,-0.010233,9.68900013,9.68900013,9.67000008,9.67500019,1200.0,0.0,0.0,-0.08099937,-0.00830252,0.00172811,,17899,13925,0,247,234,0
HYAC,2021-07-01,9.7726,0.35282051,-0.00127745,-0.0455,-0.0429,-0.0026,-1,-1,-1,-140.2029,1,-0.09871444,-0.7692,-1,-5.98832685,30.529,0,0.0,32.2984,25.9273,0.322984,0.16137013,0.259273,-0.28874715,25.8309,0.0230262,50.0,92.8571,0.5,0.928571,-1,9.6253,9.7064,9.7875,0.1622,0.0,57284.2538,0.0,9.67500019,9.67500019,9.67500019,9.67500019,0.0,0.0,0.0,0.0,0.0,0.0,,18958,14431,0,221,229,0
HYAC,2021-07-02,9.7501,0.29512821,-0.00230236,-0.0479,-0.0439,-0.004,-1,-1,-1,-125.0253,1,-0.10825454,-0.7692,-1,-0.0,30.529,0,0.0,22.7314,5.814,0.227314,-0.29620662,0.05814,-0.7757576,26.3542,0.02025868,42.8571,85.7143,0.428571,0.857143,-1,9.628,9.7074,9.7868,0.1588,0.0,57284.2538,0.0,,,,,,,,,,,,17357,14864,0,273,223,0
HYAC,2021-07-06,9.7281,0.23871795,-0.00225639,-0.0489,-0.0449,-0.004,-1,-1,-1,-107.088,1,-0.14346936,-0.7179,-1,-0.06669267,33.135,0,0.08536146,13.1644,7.7519,0.131644,-0.42087157,0.077519,0.33331613,26.6163,0.00994528,35.7143,78.5714,0.357143,0.785714,-1,9.6283,9.6922,9.7561,0.1278,0.0,57284.2538,0.0,9.68000031,9.68000031,9.68000031,9.68000031,200.0,0.0,0.0,0.00500011,0.00051681,0.00028802,,16904,15721,0,207,197,0
HYAC,2021-07-07,9.7081,0.1874359,-0.0020559,-0.0475,-0.0454,-0.0021,-1,-1,-1,-100.7976,1,-0.05874048,-1.0204,-1,0.42136788,43.6954,0,0.31870831,17.5711,39.1473,0.175711,0.3347437,0.391473,4.05002645,28.0968,0.05562381,28.5714,100.0,0.285714,1.0,-1,9.6616,9.681,9.7004,0.0388,1.0,59358.2538,0.03620541,9.61999989,9.69999981,9.61999989,9.69999981,2100.0,0.0,0.0,0.0199995,0.00206606,0.00302419,,24672,16689,0,240,196,0
HYAC,2021-07-08,9.7027,0.17358974,-0.00055624,-0.0458,-0.0455,-0.0003,-1,-1,-1,-65.0775,0,-0.35437451,-1.0204,-1,-0.0,43.6954,0,0.0,39.1473,70.5426,0.391473,1.22793678,0.705426,0.80197868,29.4293,0.04742533,21.4286,92.8571,0.214286,0.928571,-1,9.6628,9.686,9.7092,0.0464,0.0,59358.2538,0.0,9.69999981,9.69999981,9.69999981,9.69999981,114000.0,0.0,0.0,0.0,0.0,0.16417051,,30679,18363,0,200,193,0
HYAC,2021-07-09,9.6947,0.15307692,-0.00082451,-0.0472,-0.0458,-0.0014,-1,-1,-1,-83.6919,0,0.28603434,-1.4286,-1,0.4000392,29.2561,1,-0.33045355,64.3411,83.3333,0.643411,0.64356418,0.833333,0.18131881,31.367,0.06584254,14.2857,85.7143,0.142857,0.857143,-1,9.6523,9.683,9.7137,0.0614,0.0,53698.2538,-0.09535321,9.69999981,9.69999981,9.65999985,9.65999985,5700.0,0.0,0.0,-0.03999996,-0.00412371,0.00820853,,29310,20071,0,271,193,0
HYAC,2021-07-12,9.6987,0.16333333,0.0004126,-0.0438,-0.0454,0.0016,-1,-1,1,-42.3331,0,-0.49417925,-0.9184,-1,-0.35713286,53.3455,0,0.82339751,79.0698,83.3333,0.790698,0.22891589,0.833333,0.0,32.6074,0.03954474,7.1429,78.5714,0.071429,0.785714,-1,9.6542,9.69,9.7258,0.0716,0.0,53698.2538,0.0,9.71000004,9.71000004,9.71000004,9.71000004,1000.0,0.0,0.0,0.05000019,0.005176,0.00144009,,24449,24437,0,231,207,0
HYAC,2021-07-13,9.6941,0.15153846,-0.00047429,-0.0406,-0.0445,0.0039,-1,-1,1,-38.4852,0,-0.09089578,-0.9184,-1,-0.0,53.3455,0,0.0,83.3333,83.3333,0.833333,0.05392071,0.833333,0.0,33.7238,0.03423763,0.0,71.4286,0.0,0.714286,-1,9.6589,9.696,9.7331,0.0742,0.0,53698.2538,0.0,9.71000004,9.71000004,9.71000004,9.71000004,0.0,0.0,0.0,0.0,0.0,0.0,,35897,27150,0,338,225,0
HYAC,2021-07-14,9.6905,0.14230769,-0.00037136,-0.0368,-0.0429,0.0061,-1,-1,1,-25.4102,0,-0.33974099,-0.8163,-1,-0.1111716,57.8326,0,0.08411394,88.8889,100.0,0.888889,0.06666723,1.0,0.20000048,34.1522,0.01270319,0.0,64.2857,0.0,0.642857,-1,9.658,9.7,9.742,0.084,0.0,53698.2538,0.0,9.72000027,9.72000027,9.72000027,9.72000027,33400.0,0.0,0.0,0.01000023,0.00102989,0.04809908,,41216,29513,106,314,236,0
HYAC,2021-07-15,9.695,0.15384615,0.00046437,-0.0335,-0.041,0.0076,-1,-1,1,-21.8857,0,-0.13870414,-0.9174,-1,0.12385153,57.8326,0,0.0,94.4444,100.0,0.944444,0.06249937,1.0,0.0,34.5377,0.01128771,21.4286,57.1429,0.214286,0.571429,-1,9.6591,9.704,9.7489,0.0898,0.0,53698.2538,0.0,9.72000027,9.72000027,9.72000027,9.72000027,0.0,0.0,0.0,0.0,0.0,0.0,,42873,31255,112,306,251,0
HYAC,2021-07-16,9.6995,0.16538462,0.00046416,-0.0304,-0.0389,0.0085,-1,-1,1,-18.5132,0,-0.15409605,-0.8163,-1,-0.11020275,57.8326,0,0.0,100.0,100.0,1.0,0.05882403,1.0,0.0,34.8847,0.01004699,14.2857,50.0,0.142857,0.5,-1,9.7062,9.716,9.7258,0.0196,0.0,53698.2538,0.0,9.72000027,9.72000027,9.72000027,9.72000027,100.0,0.0,0.0,0.0,0.0,0.00014401,,43951,33347,42,303,256,0
HYAC,2021-07-19,9.704,0.17692308,0.00046394,-0.0277,-0.0367,0.009,-1,-1,1,-9.7545,0,-0.47310568,-1.8182,-1,1.22736739,57.8326,0,0.0,100.0,100.0,1.0,0.0,1.0,0.0,35.197,0.00895235,7.1429,42.8571,0.071429,0.428571,-1,9.71,9.718,9.726,0.016,0.0,53698.2538,0.0,,,,,,,,,,,,37658,39197,266,264,270,0
HYAC,2021-07-20,9.708,0.18717949,0.0004122,-0.0253,-0.0344,0.0091,-1,-1,1,5.5346,0,-1.56738941,-1.8182,-1,-0.0,57.8326,0,0.0,88.8889,66.6667,0.888889,-0.111111,0.666667,-0.333333,35.4781,0.00798648,0.0,35.7143,0.0,0.357143,-1,9.72,9.72,9.72,0.0,0.0,53698.2538,0.0,,,,,,,,,,,,53320,41686,136,321,268,0
HYAC,2021-07-21,9.71,0.19230769,0.00020602,-0.0231,-0.0321,0.0091,-1,-1,1,24.4988,0,3.42648069,-1.8182,-1,-0.0,57.8326,0,0.0,77.7778,66.6667,0.777778,-0.12499986,0.666667,0.0,36.1252,0.01823942,100.0,28.5714,1.0,0.285714,1,9.72,9.72,9.72,0.0,1.0,55344.2538,0.03065277,9.71000004,9.72000027,9.71000004,9.72000027,1600.0,0.0,0.0,0.0,0.0,0.00230415,,65671,45180,184,400,280,0
HYAC,2021-07-22,9.707,0.18461538,-0.00030896,-0.0251,-0.0307,0.0056,-1,-1,1,45.0317,0,0.8381186,-0.8561,-1,-0.52914971,20.4036,1,-0.64719553,55.5556,33.3333,0.555556,-0.28571392,0.333333,-0.50000075,34.1941,-0.05345576,100.0,21.4286,1.0,0.214286,1,9.67,9.71,9.75,0.08,-1.0,53752.2538,-0.02876541,9.81999969,9.81999969,9.67000008,9.67000008,1600.0,0.0,0.0,-0.05000019,-0.00514405,0.00230415,,71310,49242,283,334,284,0
HYAC,2021-07-23,9.714,0.2025641,0.00072113,-0.0216,-0.0289,0.0073,-1,-1,1,79.6915,0,0.76967558,-0.1027,-1,-0.88003738,59.612,0,1.92164128,48.8889,46.6667,0.488889,-0.1200005,0.466667,0.4000024,32.4562,-0.05082456,92.8571,14.2857,0.928571,0.142857,1,9.6693,9.712,9.7547,0.0854,0.0,53752.2538,0.0,9.72999954,9.72999954,9.72999954,9.72999954,400.0,0.0,0.0,0.05999947,0.0062047,0.00057604,,70241,52998,345,386,296,0
HYAC,2021-07-26,9.716,0.20769231,0.00020589,-0.0186,-0.0268,0.0082,-1,-1,1,74.4257,0,-0.06607731,0.6205,1,-7.04186952,59.612,0,0.0,35.5556,26.6667,0.355556,-0.27272653,0.266667,-0.42857112,30.8921,-0.0481911,85.7143,7.1429,0.857143,0.071429,1,9.6691,9.714,9.7589,0.0898,0.0,53752.2538,0.0,9.72999954,9.72999954,9.72999954,9.72999954,0.0,0.0,0.0,0.0,0.0,0.0,,58106,61741,36,387,346,0
HYAC,2021-07-27,9.718,0.21282051,0.00020585,-0.016,-0.0247,0.0086,-1,-1,1,73.6354,0,-0.01061864,-0.2665,-1,-1.42949234,59.612,0,0.0,37.7778,40.0,0.377778,0.0624993,0.4,0.49999813,29.4844,-0.04556828,78.5714,0.0,0.785714,0.0,1,9.6694,9.716,9.7626,0.0932,0.0,53752.2538,0.0,,,,,,,,,,,,87640,66643,142,515,374,0
HYAC,2021-07-28,9.712,0.1974359,-0.00061741,-0.0194,-0.0236,0.0042,-1,-1,1,-90.8676,0,-2.23402059,-0.984,-1,2.69230769,28.0866,1,-0.52884319,31.1111,26.6667,0.311111,-0.17647137,0.266667,-0.3333325,28.4332,-0.03565275,71.4286,100.0,0.714286,1.0,-1,9.64,9.704,9.768,0.128,0.0,53386.2538,-0.00680902,9.71000004,9.71000004,9.65999985,9.65999985,400.0,0.0,0.0,-0.06999969,-0.00719421,0.00057604,,96189,71003,120,462,382,0
HYAC,2021-07-29,9.706,0.18205128,-0.00061779,-0.0219,-0.0233,0.0014,-1,-1,1,-136.0759,1,0.49751837,-0.155,-1,-0.84247967,28.0866,1,0.0,26.6667,13.3333,0.266667,-0.14285577,0.133333,-0.50000187,27.4872,-0.03327096,64.2857,100.0,0.642857,1.0,-1,9.6334,9.702,9.7706,0.1372,0.0,53386.2538,0.0,9.65999985,9.65999985,9.65999985,9.65999985,0.0,0.0,0.0,0.0,0.0,0.0,,100685,75200,229,488,404,0
HYAC,2021-07-30,9.7,0.16666667,-0.00061817,-0.0235,-0.0233,-0.0002,-1,-1,-1,-128.2246,1,-0.05769795,-0.155,-1,-0.0,28.0866,1,0.0,13.3333,-0.0,0.133333,-0.50000187,0.0,-1.0,26.6358,-0.03097442,57.1429,100.0,0.571429,1.0,-1,9.6194,9.688,9.7566,0.1372,0.0,53386.2538,0.0,,,,,,,,,,,,108067,80603,334,523,424,130
HYAC,2021-08-02,9.694,0.15128205,-0.00061856,-0.0246,-0.0236,-0.001,-1,-1,-1,-120.9913,1,-0.05641117,-0.155,-1,-0.0,28.0866,1,0.0,4.4444,-0.0,0.044444,-0.66666917,0.0,,25.8695,-0.02876955,50.0,100.0,0.5,1.0,-1,9.618,9.674,9.73,0.112,0.0,53386.2538,0.0,,,,,,,,,,,,81575,91726,25,568,485,0
HYAC,2021-08-03,9.688,0.13589744,-0.00061894,-0.0251,-0.0239,-0.0012,-1,-1,-1,-112.1884,1,-0.07275647,-0.2066,-1,0.33290323,28.0866,1,0.0,-0.0,-0.0,0.0,-1.0,0.0,,25.1798,-0.02666074,42.8571,100.0,0.428571,1.0,-1,9.66,9.66,9.66,0.0,0.0,53386.2538,0.0,,,,,,,,,,,,117503,95992,322,724,515,0
HYAC,2021-08-04,9.688,0.13589744,0.0,-0.0205,-0.0232,0.0027,-1,-1,1,-32.7553,0,-0.70803309,0.2062,1,-1.99806389,69.8267,0,1.4861215,11.1111,33.3333,0.111111,-1,0.333333,-1,24.4268,-0.02990492,35.7143,100.0,0.357143,1.0,-1,9.624,9.672,9.72,0.096,-1.0,552538.2538,9.34982256,9.65999985,9.72000027,9.63000011,9.72000027,499200.0,0.0,0.0,0.06000042,0.00621122,0.71889401,,130670,100918,333,735,554,0
HYAC,2021-08-05,9.692,0.14615385,0.00041288,-0.0174,-0.022,0.0047,-1,-1,1,58.4795,0,-2.78534466,0.1031,1,-0.5,62.294,0,-0.10787707,29.6296,55.5556,0.296296,1.66666667,0.555556,0.66666967,24.9517,0.02148869,28.5714,92.8571,0.285714,0.928571,-1,9.6277,9.682,9.7363,0.1086,-1.0,551730.2538,-0.00146234,9.75,9.75,9.71000004,9.71000004,800.0,0.0,0.0,-0.01000023,-0.00102883,0.00115207,,131953,105385,234,741,590,0
HYAC,2021-08-06,9.6831,0.12333333,-0.00091828,-0.0203,-0.0217,0.0014,-1,-1,1,-127.822,1,-3.1857574,-0.2019,-1,-2.95829292,32.1571,0,-0.48378496,51.1481,64.5556,0.511481,0.7262501,0.645556,0.16199987,24.3262,-0.02506843,21.4286,100.0,0.214286,1.0,-1,9.6159,9.6781,9.7403,0.1244,1.0,452277.6538,-0.18025584,9.64999962,9.72000027,9.60000038,9.64099979,306000.0,0.0,0.0,-0.06900024,-0.0071061,0.4406682,,126699,108046,7773,822,632,0
